电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[0.47, 0.00%, 0.01%, 5]
[0.14, 0.00%, 0.00%, 4]
[0.20, 0.00%, 0.01%, 3]
[0.51, 0.00%, 0.01%, 2]
[0.18, 0.00%, 0.00%, 1]
[0.46, 0.00%, 0.00%, 0]
[0.39, 0.00%, 0.00%, 6]
电影代码: 05102102024, 电影名: 刺猬索尼克3, 上映天数: 53
[<0.1, 0.00%, 0.01%, 0]
[0.49, 0.00%, 0.01%, 6]
[0.57, 0.00%, 0.01%, 5]
[0.14, 0.00%, 0.00%, 4]
[<0.1, 0.00%, 0.00%, 3]
[0.17, 0.00%, 0.00%, 2]
[<0.1, 0.00%, 0.00%, 1]
[<0.1, 0.00%, 0.01%, 0]
[0.71, 0.00%, 0.01%, 6]
[0.65, 0.00%, 0.01%, 5]
[<0.1, 0.00%, 0.01%, 4]
[<0.1, 0.00%, 0.01%, 3]
[<0.1, 0.00%, 0.01%, 2]
[0.10, 0.00%, 0.01%, 1]
[<0.1, 0.00%, 0.01%, 0]
[1.02, 0.00%, 0.01%, 6]
[0.81, 0.00%, 0.01%, 5]
[0.16, 0.00%, 0.00%, 4]
[0.43, 0.00%, 0.01%, 3]
[0.60, 0.00%, 0.01%, 2]
[0.64, 0.00%, 0.01%, 1]
[0.75, 0.00%, 0.01%, 0]
[3.92, 0.00%, 0.02%, 6]
[1.41, 0.00%, 0.02%, 5]
[0.95, 0.00%, 0.02%, 4]
[1.44, 0.00%, 0.02%, 3]
[1.37, 0.00%, 0.02%, 2]
[2.14, 0.00%, 0.01%, 1]
[2.11, 0.00%, 0.01%, 0]
